comparison	gene_id	symbol	mean_log2_reference	mean_log2_truseq	deviation_log2	direction	histone_replication_dependent	mrna_length_nt
TruSeq vs BRB-seq	ENSG00000118855	MFSD1	2.353	5.634	3.451	over-represented in TruSeq	0	2137
TruSeq vs BRB-seq	ENSG00000118971	CCND2	6.452	3.894	-2.388	under-represented in TruSeq	0	6180
TruSeq vs BRB-seq	ENSG00000119013	NDUFB3	6.138	8.499	2.53	over-represented in TruSeq	0	502
TruSeq vs BRB-seq	ENSG00000119632	IFI27L2	6.1	3.52	-2.411	under-represented in TruSeq	0	451
TruSeq vs BRB-seq	ENSG00000119787	ATL2	4.061	6.683	2.791	over-represented in TruSeq	0	2077
TruSeq vs BRB-seq	ENSG00000119812	FAM98A	4.992	6.934	2.111	over-represented in TruSeq	0	1970
TruSeq vs BRB-seq	ENSG00000119986	AVPI1	4.912	2.511	-2.232	under-represented in TruSeq	0	1375
TruSeq vs BRB-seq	ENSG00000120075	HOXB5	4.632	1.934	-2.528	under-represented in TruSeq	0	1859
TruSeq vs BRB-seq	ENSG00000120129	DUSP1	5.838	3.264	-2.404	under-represented in TruSeq	0	2013
TruSeq vs BRB-seq	ENSG00000120438	TCP1	7.986	9.851	2.034	over-represented in TruSeq	0	1587
TruSeq vs BRB-seq	ENSG00000120526	NUDCD1	3.169	5.082	2.083	over-represented in TruSeq	0	2444
TruSeq vs BRB-seq	ENSG00000120699	EXOSC8	5.121	6.959	2.008	over-represented in TruSeq	0	1308
TruSeq vs BRB-seq	ENSG00000120885	CLU	2.316	4.219	2.072	over-represented in TruSeq	0	834
TruSeq vs BRB-seq	ENSG00000121741	ZMYM2	2.576	4.494	2.088	over-represented in TruSeq	0	4089
TruSeq vs BRB-seq	ENSG00000121749	TBC1D15	2.141	5.632	3.66	over-represented in TruSeq	0	2304
TruSeq vs BRB-seq	ENSG00000122882	ECD	4.053	5.905	2.022	over-represented in TruSeq	0	1787
TruSeq vs BRB-seq	ENSG00000122958	VPS26A	4.107	6.811	2.874	over-represented in TruSeq	0	1767
TruSeq vs BRB-seq	ENSG00000123219	CENPK	3.718	5.88	2.332	over-represented in TruSeq	0	934
TruSeq vs BRB-seq	ENSG00000123552	USP45	2.495	4.451	2.126	over-represented in TruSeq	0	2136
TruSeq vs BRB-seq	ENSG00000123685	BATF3	6.019	3.624	-2.226	under-represented in TruSeq	0	834
TruSeq vs BRB-seq	ENSG00000123689	G0S2	5.186	2.191	-2.826	under-represented in TruSeq	0	875
TruSeq vs BRB-seq	ENSG00000123983	ACSL3	3.987	6.083	2.266	over-represented in TruSeq	0	3573
TruSeq vs BRB-seq	ENSG00000124172	ATP5F1E	9.892	6.599	-3.124	under-represented in TruSeq	0	2249
TruSeq vs BRB-seq	ENSG00000124193	SRSF6	5.322	7.951	2.799	over-represented in TruSeq	0	2644
TruSeq vs BRB-seq	ENSG00000124459	ZNF45	2.214	4.168	2.123	over-represented in TruSeq	0	2724
TruSeq vs BRB-seq	ENSG00000124593		8.289	2.853	-5.267	under-represented in TruSeq	0	3165
TruSeq vs BRB-seq	ENSG00000124635	H2BC11	4.57	2.115	-2.285	under-represented in TruSeq	1	1050
TruSeq vs BRB-seq	ENSG00000124641	MED20	3.121	5.212	2.261	over-represented in TruSeq	0	2149
TruSeq vs BRB-seq	ENSG00000124766	SOX4	7.546	5.181	-2.195	under-represented in TruSeq	0	4869
TruSeq vs BRB-seq	ENSG00000124787	RPP40	3.867	5.931	2.233	over-represented in TruSeq	0	947
TruSeq vs BRB-seq	ENSG00000125124	BBS2	2.64	5.093	2.622	over-represented in TruSeq	0	1491
TruSeq vs BRB-seq	ENSG00000125304	TM9SF2	4.091	6.625	2.704	over-represented in TruSeq	0	3435
TruSeq vs BRB-seq	ENSG00000125356	NDUFA1	7.56	9.748	2.357	over-represented in TruSeq	0	421
TruSeq vs BRB-seq	ENSG00000125821	DTD1	7.67	4.366	-3.135	under-represented in TruSeq	0	3890
TruSeq vs BRB-seq	ENSG00000125870	SNRPB2	4.575	7.625	3.22	over-represented in TruSeq	0	1231
TruSeq vs BRB-seq	ENSG00000126246	IGFLR1	4.435	1.91	-2.355	under-represented in TruSeq	0	802
TruSeq vs BRB-seq	ENSG00000126870	DYNC2I1	6.298	4.112	-2.017	under-represented in TruSeq	0	3475
TruSeq vs BRB-seq	ENSG00000126945	HNRNPH2	5.42	7.503	2.252	over-represented in TruSeq	0	2296
TruSeq vs BRB-seq	ENSG00000127022	CANX	7.421	9.65	2.399	over-represented in TruSeq	0	2175
TruSeq vs BRB-seq	ENSG00000127663	KDM4B	6.58	4.207	-2.203	under-represented in TruSeq	0	5205
TruSeq vs BRB-seq	ENSG00000127922	SEM1	7.721	9.768	2.216	over-represented in TruSeq	0	433
TruSeq vs BRB-seq	ENSG00000127955	GNAI1	3.114	5.209	2.265	over-represented in TruSeq	0	2040
TruSeq vs BRB-seq	ENSG00000128595	CALU	5.227	7.472	2.414	over-represented in TruSeq	0	2509
TruSeq vs BRB-seq	ENSG00000128609	NDUFA5	4.601	7.34	2.909	over-represented in TruSeq	0	1291
TruSeq vs BRB-seq	ENSG00000128708	HAT1	3.809	7.536	3.897	over-represented in TruSeq	0	3794
TruSeq vs BRB-seq	ENSG00000128965	CHAC1	5.045	2.359	-2.516	under-represented in TruSeq	0	1519
TruSeq vs BRB-seq	ENSG00000128973	CLN6	3.256	6.991	3.905	over-represented in TruSeq	0	1732
TruSeq vs BRB-seq	ENSG00000129083	COPB1	4.484	6.99	2.675	over-represented in TruSeq	0	3272
TruSeq vs BRB-seq	ENSG00000129355	CDKN2D	4.907	2.653	-2.085	under-represented in TruSeq	0	1424
TruSeq vs BRB-seq	ENSG00000129636	ITFG1	3.277	5.183	2.075	over-represented in TruSeq	0	1687
TruSeq vs BRB-seq	ENSG00000130203	APOE	5.806	1.931	-3.706	under-represented in TruSeq	0	970
TruSeq vs BRB-seq	ENSG00000130294	KIF1A	6.838	4.075	-2.594	under-represented in TruSeq	0	5201
TruSeq vs BRB-seq	ENSG00000130338	TULP4	5.493	3.144	-2.18	under-represented in TruSeq	0	4580
TruSeq vs BRB-seq	ENSG00000130748	TMEM160	8.081	5.443	-2.468	under-represented in TruSeq	0	655
TruSeq vs BRB-seq	ENSG00000130766	SESN2	7.962	5.703	-2.089	under-represented in TruSeq	0	
TruSeq vs BRB-seq	ENSG00000130772	MED18	2.982	4.822	2.009	over-represented in TruSeq	0	
TruSeq vs BRB-seq	ENSG00000130935	NOL11	4.99	7.57	2.749	over-represented in TruSeq	0	2196
TruSeq vs BRB-seq	ENSG00000131094	C1QL1	4.847	2.347	-2.33	under-represented in TruSeq	0	1527
TruSeq vs BRB-seq	ENSG00000131187	F12	6.441	2.997	-3.274	under-represented in TruSeq	0	1437
TruSeq vs BRB-seq	ENSG00000131188	PRR7	5.944	2.417	-3.358	under-represented in TruSeq	0	1292
TruSeq vs BRB-seq	ENSG00000131238	PPT1	4.19	7.875	3.855	over-represented in TruSeq	0	1255
TruSeq vs BRB-seq	ENSG00000131373	HACL1	4.067	5.985	2.088	over-represented in TruSeq	0	1873
TruSeq vs BRB-seq	ENSG00000131711	MAP1B	7.036	3.435	-3.431	under-represented in TruSeq	0	11715
TruSeq vs BRB-seq	ENSG00000131725	WDR44	2.812	5.061	2.418	over-represented in TruSeq	0	3610
TruSeq vs BRB-seq	ENSG00000131966	ACTR10	4.607	6.595	2.157	over-represented in TruSeq	0	1337
TruSeq vs BRB-seq	ENSG00000132329	RAMP1	5.812	3.509	-2.133	under-represented in TruSeq	0	822
TruSeq vs BRB-seq	ENSG00000132356	PRKAA1	3.179	5.015	2.005	over-represented in TruSeq	0	1343
TruSeq vs BRB-seq	ENSG00000132423	COQ3	2.716	5.967	3.421	over-represented in TruSeq	0	1217
TruSeq vs BRB-seq	ENSG00000132436	FIGNL1	3.259	5.406	2.316	over-represented in TruSeq	0	2768
TruSeq vs BRB-seq	ENSG00000132467	UTP3	4.334	6.217	2.053	over-represented in TruSeq	0	2019
TruSeq vs BRB-seq	ENSG00000132510	KDM6B	5.358	2.981	-2.208	under-represented in TruSeq	0	4558
TruSeq vs BRB-seq	ENSG00000132600	PRMT7	4.439	6.519	2.249	over-represented in TruSeq	0	1521
TruSeq vs BRB-seq	ENSG00000132613	MTSS2	4.119	6.269	2.319	over-represented in TruSeq	0	2602
TruSeq vs BRB-seq	ENSG00000132846	ZBED3	4.98	2.466	-2.344	under-represented in TruSeq	0	1436
TruSeq vs BRB-seq	ENSG00000132912	DCTN4	4.13	6.436	2.476	over-represented in TruSeq	0	2548
TruSeq vs BRB-seq	ENSG00000133103	COG6	2.42	4.637	2.387	over-represented in TruSeq	0	2931
TruSeq vs BRB-seq	ENSG00000133119	RFC3	5.127	7.089	2.132	over-represented in TruSeq	0	2257
TruSeq vs BRB-seq	ENSG00000133731	IMPA1	3.27	5.584	2.483	over-represented in TruSeq	0	1018
TruSeq vs BRB-seq	ENSG00000134001	EIF2S1	5.448	8.365	3.086	over-represented in TruSeq	0	1207
TruSeq vs BRB-seq	ENSG00000134057	CCNB1	5.738	8.652	3.084	over-represented in TruSeq	0	1348
TruSeq vs BRB-seq	ENSG00000134058	CDK7	2.292	5.629	3.506	over-represented in TruSeq	0	758
TruSeq vs BRB-seq	ENSG00000134250	NOTCH2	3.3	5.36	2.23	over-represented in TruSeq	0	2620
TruSeq vs BRB-seq	ENSG00000134255	CEPT1	2.204	5.412	3.378	over-represented in TruSeq	0	2067
TruSeq vs BRB-seq	ENSG00000134283	PPHLN1	4.997	6.879	2.051	over-represented in TruSeq	0	1783
TruSeq vs BRB-seq	ENSG00000134294	SLC38A2	3.24	6.813	3.742	over-represented in TruSeq	0	2494
TruSeq vs BRB-seq	ENSG00000134333	LDHA	8.391	10.793	2.572	over-represented in TruSeq	0	
TruSeq vs BRB-seq	ENSG00000134440	NARS1	5.645	7.565	2.09	over-represented in TruSeq	0	2307
TruSeq vs BRB-seq	ENSG00000134910	STT3A	4.996	7.966	3.14	over-represented in TruSeq	0	2085
TruSeq vs BRB-seq	ENSG00000134970	TMED7	2.874	5.333	2.629	over-represented in TruSeq	0	815
TruSeq vs BRB-seq	ENSG00000135045	C9orf40	6.883	4.121	-2.593	under-represented in TruSeq	0	2351
TruSeq vs BRB-seq	ENSG00000135164	DMTF1	3.027	5.673	2.815	over-represented in TruSeq	0	1985
TruSeq vs BRB-seq	ENSG00000135249	RINT1	2.292	5.415	3.293	over-represented in TruSeq	0	2430
TruSeq vs BRB-seq	ENSG00000135521	LTV1	5.274	7.401	2.296	over-represented in TruSeq	0	1853
TruSeq vs BRB-seq	ENSG00000135535	CD164	4.532	7.305	2.943	over-represented in TruSeq	0	2703
TruSeq vs BRB-seq	ENSG00000135547	HEY2	4.903	2.63	-2.103	under-represented in TruSeq	0	2608
TruSeq vs BRB-seq	ENSG00000135655	USP15	3.83	6.498	2.837	over-represented in TruSeq	0	1610
TruSeq vs BRB-seq	ENSG00000135919	SERPINE2	2.657	4.773	2.286	over-represented in TruSeq	0	1881
TruSeq vs BRB-seq	ENSG00000136122	BORA	3.894	5.822	2.097	over-represented in TruSeq	0	2175
TruSeq vs BRB-seq	ENSG00000136518	ACTL6A	2.586	6.983	4.567	over-represented in TruSeq	0	1682
TruSeq vs BRB-seq	ENSG00000136636	KCTD3	3.741	6.115	2.544	over-represented in TruSeq	0	3385
TruSeq vs BRB-seq	ENSG00000136732	GYPC	6.308	4.086	-2.052	under-represented in TruSeq	0	1011
TruSeq vs BRB-seq	ENSG00000137055	PLAA	2.803	5.391	2.757	over-represented in TruSeq	0	2614
TruSeq vs BRB-seq	ENSG00000137509	PRCP	4.011	6.743	2.901	over-represented in TruSeq	0	1590
TruSeq vs BRB-seq	ENSG00000137563	GGH	5.302	7.189	2.056	over-represented in TruSeq	0	1245
TruSeq vs BRB-seq	ENSG00000137575	SDCBP	5.077	7.303	2.396	over-represented in TruSeq	0	2042
TruSeq vs BRB-seq	ENSG00000137693	YAP1	2.522	4.737	2.385	over-represented in TruSeq	0	3844
TruSeq vs BRB-seq	ENSG00000137760	ALKBH8	2.626	4.772	2.315	over-represented in TruSeq	0	3056
TruSeq vs BRB-seq	ENSG00000137876	RSL24D1	4.069	7.498	3.598	over-represented in TruSeq	0	1637
TruSeq vs BRB-seq	ENSG00000137880	GCHFR	6.187	3.801	-2.217	under-represented in TruSeq	0	684
TruSeq vs BRB-seq	ENSG00000137944	KYAT3	2.758	5.735	3.147	over-represented in TruSeq	0	1824
TruSeq vs BRB-seq	ENSG00000137947	GTF2B	4.324	6.196	2.042	over-represented in TruSeq	0	1063
TruSeq vs BRB-seq	ENSG00000137955	RABGGTB	4.668	8.048	3.549	over-represented in TruSeq	0	1472
TruSeq vs BRB-seq	ENSG00000138032	PPM1B	3.293	5.201	2.078	over-represented in TruSeq	0	2345
TruSeq vs BRB-seq	ENSG00000138036	DYNC2LI1	2.949	5.218	2.439	over-represented in TruSeq	0	1228
TruSeq vs BRB-seq	ENSG00000138081	FBXO11	3.095	5.108	2.182	over-represented in TruSeq	0	3138
TruSeq vs BRB-seq	ENSG00000138138	ATAD1	3.554	5.583	2.198	over-represented in TruSeq	0	2834
TruSeq vs BRB-seq	ENSG00000138336	TET1	6.217	2.842	-3.206	under-represented in TruSeq	0	9612
TruSeq vs BRB-seq	ENSG00000138385	SSB	6.368	9.124	2.926	over-represented in TruSeq	0	1499
TruSeq vs BRB-seq	ENSG00000138413	IDH1	4.43	6.345	2.085	over-represented in TruSeq	0	2217
TruSeq vs BRB-seq	ENSG00000138459	SLC35A5	3.453	5.375	2.093	over-represented in TruSeq	0	1972
TruSeq vs BRB-seq	ENSG00000138663	COPS4	5.073	6.937	2.033	over-represented in TruSeq	0	1487
TruSeq vs BRB-seq	ENSG00000138777	PPA2	5.824	7.719	2.064	over-represented in TruSeq	0	992
TruSeq vs BRB-seq	ENSG00000138801	PAPSS1	3.854	5.703	2.019	over-represented in TruSeq	0	2394
TruSeq vs BRB-seq	ENSG00000139146	SINHCAF	4.825	6.838	2.182	over-represented in TruSeq	0	2941
TruSeq vs BRB-seq	ENSG00000139624	CERS5	3.567	5.529	2.132	over-represented in TruSeq	0	1240
TruSeq vs BRB-seq	ENSG00000139684	ESD	4.549	7.879	3.499	over-represented in TruSeq	0	1093
TruSeq vs BRB-seq	ENSG00000139921	TMX1	4.476	6.55	2.243	over-represented in TruSeq	0	2892
TruSeq vs BRB-seq	ENSG00000140280	LYSMD2	4.228	1.97	-2.089	under-represented in TruSeq	0	1171
TruSeq vs BRB-seq	ENSG00000141424	SLC39A6	4.754	6.718	2.133	over-represented in TruSeq	0	1995
TruSeq vs BRB-seq	ENSG00000141452	RMC1	3.581	5.438	2.026	over-represented in TruSeq	0	1639
TruSeq vs BRB-seq	ENSG00000141867	BRD4	8.214	5.669	-2.375	under-represented in TruSeq	0	3390
TruSeq vs BRB-seq	ENSG00000141965	FEM1A	6.482	4.285	-2.027	under-represented in TruSeq	0	9540
TruSeq vs BRB-seq	ENSG00000142192	APP	5.497	8.031	2.703	over-represented in TruSeq	0	2712
TruSeq vs BRB-seq	ENSG00000142669	SH3BGRL3	7.695	5.308	-2.217	under-represented in TruSeq	0	752
TruSeq vs BRB-seq	ENSG00000142694	EVA1B	4.959	2.026	-2.763	under-represented in TruSeq	0	980
TruSeq vs BRB-seq	ENSG00000142731	PLK4	2.688	5.335	2.817	over-represented in TruSeq	0	2351
TruSeq vs BRB-seq	ENSG00000142867	BCL10	5.974	3.632	-2.172	under-represented in TruSeq	0	1897
TruSeq vs BRB-seq	ENSG00000142892	PIGK	3.293	6.373	3.249	over-represented in TruSeq	0	2145
TruSeq vs BRB-seq	ENSG00000143156	NME7	2.455	5.239	2.953	over-represented in TruSeq	0	936
TruSeq vs BRB-seq	ENSG00000143183	TMCO1	5.835	8.203	2.538	over-represented in TruSeq	0	1072
TruSeq vs BRB-seq	ENSG00000143190	POU2F1	6.105	3.086	-2.849	under-represented in TruSeq	0	12960
TruSeq vs BRB-seq	ENSG00000143228	NUF2	4.175	6.196	2.191	over-represented in TruSeq	0	1609
TruSeq vs BRB-seq	ENSG00000143324	XPR1	2.728	4.783	2.225	over-represented in TruSeq	0	4767
TruSeq vs BRB-seq	ENSG00000143333	RGS16	6.463	2.942	-3.352	under-represented in TruSeq	0	2408
TruSeq vs BRB-seq	ENSG00000143376	SNX27	6.74	4.13	-2.44	under-represented in TruSeq	0	5887
TruSeq vs BRB-seq	ENSG00000143443	C1orf56	5.704	2.401	-3.134	under-represented in TruSeq	0	848
TruSeq vs BRB-seq	ENSG00000143622	RIT1	3.405	5.297	2.062	over-represented in TruSeq	0	1547
TruSeq vs BRB-seq	ENSG00000143815	LBR	5.478	7.868	2.559	over-represented in TruSeq	0	2071
TruSeq vs BRB-seq	ENSG00000143933	CALM2	6.987	9.467	2.649	over-represented in TruSeq	0	1213
TruSeq vs BRB-seq	ENSG00000144034	TPRKB	4.895	7.1	2.375	over-represented in TruSeq	0	
TruSeq vs BRB-seq	ENSG00000144118	RALB	3.45	5.518	2.237	over-represented in TruSeq	0	2104
TruSeq vs BRB-seq	ENSG00000144306	SCRN3	3.524	5.357	2.003	over-represented in TruSeq	0	1692
TruSeq vs BRB-seq	ENSG00000144559	TAMM41	3.372	5.386	2.183	over-represented in TruSeq	0	1305
TruSeq vs BRB-seq	ENSG00000144744	UBA3	3.916	6.572	2.826	over-represented in TruSeq	0	1953
TruSeq vs BRB-seq	ENSG00000144827	ABHD10	4.243	6.451	2.378	over-represented in TruSeq	0	1839
TruSeq vs BRB-seq	ENSG00000144895	EIF2A	4.949	7.304	2.525	over-represented in TruSeq	0	1677
TruSeq vs BRB-seq	ENSG00000145730	PAM	3.33	5.372	2.211	over-represented in TruSeq	0	2417
TruSeq vs BRB-seq	ENSG00000146054	TRIM7	5.541	2.095	-3.276	under-represented in TruSeq	0	1498
TruSeq vs BRB-seq	ENSG00000146574	CCZ1B	4.858	6.905	2.217	over-represented in TruSeq	0	1004
TruSeq vs BRB-seq	ENSG00000147231	RADX	3.405	6.813	3.578	over-represented in TruSeq	0	2398
TruSeq vs BRB-seq	ENSG00000147400	CETN2	4.878	6.752	2.044	over-represented in TruSeq	0	1403
TruSeq vs BRB-seq	ENSG00000147416	ATP6V1B2	4.135	6.228	2.262	over-represented in TruSeq	0	2952
TruSeq vs BRB-seq	ENSG00000147669	POLR2K	4.864	7.497	2.802	over-represented in TruSeq	0	929
TruSeq vs BRB-seq	ENSG00000147687	TATDN1	3.399	5.88	2.65	over-represented in TruSeq	0	
TruSeq vs BRB-seq	ENSG00000148200	NR6A1	5.669	3.452	-2.047	under-represented in TruSeq	0	1553
TruSeq vs BRB-seq	ENSG00000148450	MSRB2	6.404	3.419	-2.815	under-represented in TruSeq	0	894
TruSeq vs BRB-seq	ENSG00000148700	ADD3	3.26	5.686	2.595	over-represented in TruSeq	0	3148
TruSeq vs BRB-seq	ENSG00000148943	LIN7C	6.331	4.087	-2.075	under-represented in TruSeq	0	4531
TruSeq vs BRB-seq	ENSG00000149084	HSD17B12	4.774	6.859	2.255	over-represented in TruSeq	0	2342
TruSeq vs BRB-seq	ENSG00000149100	EIF3M	6.749	9.445	2.865	over-represented in TruSeq	0	885
TruSeq vs BRB-seq	ENSG00000149480	MTA2	5.543	7.707	2.334	over-represented in TruSeq	0	2303
TruSeq vs BRB-seq	ENSG00000150093	ITGB1	4.414	6.508	2.264	over-represented in TruSeq	0	3300
TruSeq vs BRB-seq	ENSG00000150456	EEF1AKMT1	2.817	4.917	2.269	over-represented in TruSeq	0	845
TruSeq vs BRB-seq	ENSG00000150768	DLAT	4.497	7.02	2.693	over-represented in TruSeq	0	2970
TruSeq vs BRB-seq	ENSG00000151239	TWF1	4.003	6.342	2.509	over-represented in TruSeq	0	1560
TruSeq vs BRB-seq	ENSG00000151247	EIF4E	4.508	7.724	3.386	over-represented in TruSeq	0	1040
TruSeq vs BRB-seq	ENSG00000151348	EXT2	3.781	5.774	2.163	over-represented in TruSeq	0	3173
TruSeq vs BRB-seq	ENSG00000151414	NEK7	2.356	4.899	2.713	over-represented in TruSeq	0	3267
TruSeq vs BRB-seq	ENSG00000152192	POU4F1	5.926	3.428	-2.328	under-represented in TruSeq	0	4539
TruSeq vs BRB-seq	ENSG00000152240	HAUS1	4.11	6.664	2.724	over-represented in TruSeq	0	1008
TruSeq vs BRB-seq	ENSG00000152253	SPC25	4.353	6.404	2.221	over-represented in TruSeq	0	1342
TruSeq vs BRB-seq	ENSG00000152404	CWF19L2	2.42	4.306	2.055	over-represented in TruSeq	0	2786
TruSeq vs BRB-seq	ENSG00000152455	SUV39H2	4.013	5.969	2.126	over-represented in TruSeq	0	1735
TruSeq vs BRB-seq	ENSG00000152683	SLC30A6	2.305	4.482	2.347	over-represented in TruSeq	0	4430
TruSeq vs BRB-seq	ENSG00000152944	MED21	3.643	5.565	2.092	over-represented in TruSeq	0	1418
TruSeq vs BRB-seq	ENSG00000152952	PLOD2	3.486	5.75	2.434	over-represented in TruSeq	0	2941
TruSeq vs BRB-seq	ENSG00000152990	ADGRA3	2.681	4.597	2.086	over-represented in TruSeq	0	2125
TruSeq vs BRB-seq	ENSG00000153201	RANBP2	3.873	5.761	2.057	over-represented in TruSeq	0	8735
TruSeq vs BRB-seq	ENSG00000153339	TRAPPC8	3.757	5.73	2.143	over-represented in TruSeq	0	4068
TruSeq vs BRB-seq	ENSG00000153936	HS2ST1	3.042	5.487	2.614	over-represented in TruSeq	0	4605
TruSeq vs BRB-seq	ENSG00000153975	ZUP1	3.094	5.211	2.287	over-represented in TruSeq	0	1719
TruSeq vs BRB-seq	ENSG00000154065	ANKRD29	4.727	2.362	-2.196	under-represented in TruSeq	0	2447
TruSeq vs BRB-seq	ENSG00000154102	C16orf74	4.831	2.515	-2.146	under-represented in TruSeq	0	782
TruSeq vs BRB-seq	ENSG00000155100	OTUD6B	2.857	4.923	2.236	over-represented in TruSeq	0	2831
TruSeq vs BRB-seq	ENSG00000155304	HSPA13	2.7	5.226	2.695	over-represented in TruSeq	0	1238
TruSeq vs BRB-seq	ENSG00000155380	SLC16A1	5.294	8.434	3.309	over-represented in TruSeq	0	3760
TruSeq vs BRB-seq	ENSG00000155438	NIFK	5.485	7.558	2.243	over-represented in TruSeq	0	963
TruSeq vs BRB-seq	ENSG00000156261	CCT8	6.499	9.315	2.986	over-represented in TruSeq	0	
TruSeq vs BRB-seq	ENSG00000156411	ATP5MJ	6.481	8.885	2.573	over-represented in TruSeq	0	599
TruSeq vs BRB-seq	ENSG00000156467	UQCRB	5.504	9.177	3.842	over-represented in TruSeq	0	656
TruSeq vs BRB-seq	ENSG00000156469	MTERF3	2.836	5.263	2.596	over-represented in TruSeq	0	1448
TruSeq vs BRB-seq	ENSG00000156642	NPTN	4.058	6.742	2.853	over-represented in TruSeq	0	1423
TruSeq vs BRB-seq	ENSG00000156875	MFSD14A	3.701	5.851	2.32	over-represented in TruSeq	0	2778
TruSeq vs BRB-seq	ENSG00000156970	BUB1B	4.177	6.403	2.395	over-represented in TruSeq	0	2933
TruSeq vs BRB-seq	ENSG00000156976	EIF4A2	5.537	7.819	2.452	over-represented in TruSeq	0	1845
TruSeq vs BRB-seq	ENSG00000157625	TAB3	1.961	3.821	2.029	over-represented in TruSeq	0	5782
TruSeq vs BRB-seq	ENSG00000157800	SLC37A3	4.01	6.145	2.304	over-represented in TruSeq	0	1023
TruSeq vs BRB-seq	ENSG00000158122	PRXL2C	5.946	3.685	-2.091	under-represented in TruSeq	0	2685
TruSeq vs BRB-seq	ENSG00000158195	WASF2	7.684	4.969	-2.545	under-represented in TruSeq	0	2768
TruSeq vs BRB-seq	ENSG00000158290	CUL4B	4.429	6.424	2.165	over-represented in TruSeq	0	2947
TruSeq vs BRB-seq	ENSG00000158435	CNOT11	4.458	6.475	2.186	over-represented in TruSeq	0	1515
TruSeq vs BRB-seq	ENSG00000158773	USF1	2.988	6.813	3.995	over-represented in TruSeq	0	841
TruSeq vs BRB-seq	ENSG00000159063	ALG8	4.572	6.729	2.327	over-represented in TruSeq	0	1589
TruSeq vs BRB-seq	ENSG00000159184	HOXB13	5.308	2.872	-2.266	under-represented in TruSeq	0	3039
TruSeq vs BRB-seq	ENSG00000159217	IGF2BP1	8.566	6.245	-2.152	under-represented in TruSeq	0	8321
TruSeq vs BRB-seq	ENSG00000159593	NAE1	5.219	7.63	2.581	over-represented in TruSeq	0	1461
TruSeq vs BRB-seq	ENSG00000160113	NR2F6	7.633	5.139	-2.324	under-represented in TruSeq	0	2382
TruSeq vs BRB-seq	ENSG00000160124	MIX23	2.961	7.665	4.873	over-represented in TruSeq	0	601
TruSeq vs BRB-seq	ENSG00000160194	NDUFV3	8.563	5.245	-3.149	under-represented in TruSeq	0	2685
TruSeq vs BRB-seq	ENSG00000160408	ST6GALNAC6	2.844	5.08	2.406	over-represented in TruSeq	0	2144
TruSeq vs BRB-seq	ENSG00000161057	PSMC2	5.493	7.562	2.239	over-represented in TruSeq	0	1852
TruSeq vs BRB-seq	ENSG00000161654	LSM12	8.736	6.184	-2.383	under-represented in TruSeq	0	1709
TruSeq vs BRB-seq	ENSG00000161800	RACGAP1	4.861	6.827	2.136	over-represented in TruSeq	0	1413
TruSeq vs BRB-seq	ENSG00000161847	RAVER1	3.357	6.352	3.165	over-represented in TruSeq	0	1325
TruSeq vs BRB-seq	ENSG00000161956	SENP3	3.26	7.26	4.17	over-represented in TruSeq	0	1194
TruSeq vs BRB-seq	ENSG00000162032	SPSB3	6.114	3.836	-2.109	under-represented in TruSeq	0	1248
TruSeq vs BRB-seq	ENSG00000162086	ZNF75A	2.67	4.621	2.12	over-represented in TruSeq	0	1297
TruSeq vs BRB-seq	ENSG00000162385	MAGOH	4.981	8.631	3.82	over-represented in TruSeq	0	634
TruSeq vs BRB-seq	ENSG00000162408	NOL9	6.67	4.011	-2.489	under-represented in TruSeq	0	1498
TruSeq vs BRB-seq	ENSG00000162521	RBBP4	6.96	8.888	2.098	over-represented in TruSeq	0	1832
TruSeq vs BRB-seq	ENSG00000162599	NFIA	5.204	2.825	-2.21	under-represented in TruSeq	0	6705
TruSeq vs BRB-seq	ENSG00000162600	OMA1	2.333	5.731	3.568	over-represented in TruSeq	0	1150
TruSeq vs BRB-seq	ENSG00000162616	DNAJB4	2.356	4.617	2.431	over-represented in TruSeq	0	1768
TruSeq vs BRB-seq	ENSG00000163132	MSX1	7.036	4.713	-2.153	under-represented in TruSeq	0	1805
TruSeq vs BRB-seq	ENSG00000163291	PAQR3	3.295	5.443	2.317	over-represented in TruSeq	0	2838
TruSeq vs BRB-seq	ENSG00000163430	FSTL1	4.421	6.438	2.186	over-represented in TruSeq	0	1891
TruSeq vs BRB-seq	ENSG00000163507	CIP2A	3.838	5.995	2.326	over-represented in TruSeq	0	3276
TruSeq vs BRB-seq	ENSG00000163527	STT3B	4.142	6.776	2.803	over-represented in TruSeq	0	3245
TruSeq vs BRB-seq	ENSG00000163728	TTC14	2.897	5.047	2.32	over-represented in TruSeq	0	2915
TruSeq vs BRB-seq	ENSG00000163738	MTHFD2L	6.547	4.225	-2.152	under-represented in TruSeq	0	1722
TruSeq vs BRB-seq	ENSG00000163743	RCHY1	3.816	6.428	2.782	over-represented in TruSeq	0	1551
TruSeq vs BRB-seq	ENSG00000163884	KLF15	5.035	2.059	-2.807	under-represented in TruSeq	0	649
TruSeq vs BRB-seq	ENSG00000163918	RFC4	4.705	7.194	2.658	over-represented in TruSeq	0	1005
TruSeq vs BRB-seq	ENSG00000164080	RAD54L2	7.161	3.543	-3.448	under-represented in TruSeq	0	8855
TruSeq vs BRB-seq	ENSG00000164096	C4orf3	7.784	5.286	-2.329	under-represented in TruSeq	0	2946
